batchId,fileName,rollNumber,totalQuestions,correct,incorrect,unmarked,score,maxScore,percentage,responses,markedImagePath,status,createdAt,error
batch_20251024_222819,Screenshot From 2025-10-24 22-06-34.png,,0,0,0,0,0,0,0,{},,failed,2025-10-24T22:29:05.835136,Preprocessing failed - markers not detected
batch_20251024_223039,Screenshot From 2025-10-24 22-06-34.png,,0,0,0,0,0,0,0,{},,failed,2025-10-24T22:30:56.848998,Preprocessing failed - markers not detected
batch_20251024_224149,rgb-100-gsm.jpg,,0,0,0,0,0,0,0,{},,failed,2025-10-24T22:41:54.479416,"OpenCV(4.12.0) /io/opencv/modules/imgcodecs/src/loadsave.cpp:1051: error: (-2:Unspecified error) could not find a writer for the specified extension in function 'imwrite_'
"
batch_20251024_224241,Screenshot From 2025-10-24 22-06-34.png,,0,0,0,0,0,0,0,{},,failed,2025-10-24T22:42:41.941519,"OpenCV(4.12.0) /io/opencv/modules/imgcodecs/src/loadsave.cpp:1051: error: (-2:Unspecified error) could not find a writer for the specified extension in function 'imwrite_'
"
batch_20251024_224308,rgb-100-gsm.jpg,,0,0,0,0,0,0,0,{},,failed,2025-10-24T22:43:08.168725,"OpenCV(4.12.0) /io/opencv/modules/imgcodecs/src/loadsave.cpp:1051: error: (-2:Unspecified error) could not find a writer for the specified extension in function 'imwrite_'
"
batch_20251024_224734,rgb-100-gsm.jpg,,0,0,0,0,0,0,0,{},,failed,2025-10-24T22:47:34.338747,'EvaluationConfig' object has no attribute 'marking_schemes'
batch_20251024_225226,Screenshot From 2025-10-24 22-06-34.png,,100,0,0,23,23.0,100.0,23.0,"{""q27"": ""D"", ""q42"": """", ""q71"": ""C"", ""q45"": ""C"", ""q37"": ""B"", ""q87"": ""C"", ""q19"": ""A"", ""q22"": ""D"", ""q48"": ""C"", ""q53"": ""C"", ""q80"": ""A"", ""q34"": ""D"", ""q26"": ""D"", ""q55"": ""D"", ""q29"": ""D"", ""q64"": ""C"", ""q47"": ""B"", ""q91"": ""D"", ""q94"": ""A"", ""q44"": ""C"", ""q88"": """", ""q14"": ""D"", ""q58"": """", ""q65"": ""C"", ""q73"": """", ""q76"": ""D"", ""q75"": """", ""q99"": ""A"", ""q23"": ""D"", ""q20"": ""D"", ""q46"": ""BC"", ""q52"": """", ""q11"": ""A"", ""q57"": ""C"", ""q67"": """", ""q60"": ""C"", ""q6"": """", ""q49"": ""A"", ""q8"": ""C"", ""q70"": ""B"", ""q9"": ""B"", ""q41"": ""ABCD"", ""q59"": ""B"", ""q68"": ""C"", ""q1"": ""ABC"", ""q18"": ""C"", ""q89"": ""D"", ""q3"": ""D"", ""q7"": ""C"", ""q24"": ""C"", ""q90"": """", ""q69"": ""A"", ""q36"": """", ""q86"": ""C"", ""q97"": """", ""q33"": ""D"", ""q96"": ""A"", ""q43"": ""A"", ""q72"": """", ""q28"": ""D"", ""q95"": """", ""q32"": ""A"", ""q39"": ""C"", ""q13"": ""C"", ""q82"": """", ""q85"": ""C"", ""q38"": """", ""q15"": ""A"", ""q66"": ""C"", ""q4"": ""A"", ""q5"": """", ""q83"": ""B"", ""q100"": ""C"", ""q50"": ""A"", ""q93"": ""D"", ""q35"": ""C"", ""q2"": ""D"", ""q12"": ""C"", ""q25"": ""D"", ""q79"": ""D"", ""q63"": """", ""q81"": ""ABD"", ""q92"": ""C"", ""q10"": """", ""q61"": ""D"", ""q78"": ""C"", ""q56"": ""B"", ""q77"": ""D"", ""q30"": """", ""q74"": """", ""q98"": """", ""q40"": ""D"", ""q16"": ""D"", ""q21"": ""B"", ""q54"": """", ""q62"": """", ""q31"": ""B"", ""q51"": ""C"", ""q84"": ""D"", ""q17"": ""A""}",batch_20251024_225226/Screenshot From 2025-10-24 22-06-34.png.jpg,completed,2025-10-24T22:52:26.846837,
batch_20251024_225253,rgb-100-gsm.jpg,,100,0,0,26,74.0,100.0,74.0,"{""q27"": """", ""q42"": ""A"", ""q71"": """", ""q45"": ""B"", ""q37"": ""D"", ""q87"": ""D"", ""q19"": ""B"", ""q22"": ""C"", ""q48"": ""A"", ""q53"": ""D"", ""q80"": ""B"", ""q34"": ""B"", ""q26"": ""D"", ""q55"": ""C"", ""q29"": ""A"", ""q64"": """", ""q47"": ""A"", ""q91"": ""D"", ""q94"": ""A"", ""q44"": ""C"", ""q88"": """", ""q14"": ""D"", ""q58"": ""C"", ""q65"": ""C"", ""q73"": ""D"", ""q76"": ""D"", ""q75"": ""C"", ""q99"": ""B"", ""q23"": ""D"", ""q20"": ""D"", ""q46"": ""C"", ""q52"": """", ""q11"": ""C"", ""q57"": ""B"", ""q67"": ""B"", ""q60"": """", ""q6"": ""C"", ""q49"": ""C"", ""q8"": """", ""q70"": """", ""q9"": ""A"", ""q41"": """", ""q59"": ""D"", ""q68"": ""C"", ""q1"": ""D"", ""q18"": ""D"", ""q89"": ""D"", ""q3"": ""A"", ""q7"": ""B"", ""q24"": ""D"", ""q90"": ""C"", ""q69"": """", ""q36"": ""C"", ""q86"": """", ""q97"": ""A"", ""q33"": """", ""q96"": """", ""q43"": ""C"", ""q72"": """", ""q28"": ""B"", ""q95"": """", ""q32"": ""C"", ""q39"": """", ""q13"": ""A"", ""q82"": ""B"", ""q85"": ""C"", ""q38"": """", ""q15"": ""A"", ""q66"": ""A"", ""q4"": """", ""q5"": ""C"", ""q83"": ""D"", ""q100"": ""A"", ""q50"": """", ""q93"": """", ""q35"": """", ""q2"": ""D"", ""q12"": ""D"", ""q25"": ""D"", ""q79"": """", ""q63"": ""C"", ""q81"": """", ""q92"": ""A"", ""q10"": ""C"", ""q61"": """", ""q78"": """", ""q56"": """", ""q77"": ""A"", ""q30"": ""D"", ""q74"": ""D"", ""q98"": ""C"", ""q40"": ""A"", ""q16"": ""C"", ""q21"": ""D"", ""q54"": ""B"", ""q62"": ""C"", ""q31"": ""D"", ""q51"": ""C"", ""q84"": ""C"", ""q17"": ""A""}",batch_20251024_225253/rgb-100-gsm.jpg.jpg,completed,2025-10-24T22:52:53.110137,
batch_20251024_225610,rgb-100-gsm.jpg,,100,0,0,26,74.0,100.0,74.0,"{""q52"": """", ""q98"": ""C"", ""q17"": ""A"", ""q30"": ""D"", ""q26"": ""D"", ""q42"": ""A"", ""q40"": ""A"", ""q9"": ""A"", ""q33"": """", ""q12"": ""D"", ""q15"": ""A"", ""q76"": ""D"", ""q57"": ""B"", ""q50"": """", ""q55"": ""C"", ""q73"": ""D"", ""q78"": """", ""q56"": """", ""q88"": """", ""q90"": ""C"", ""q49"": ""C"", ""q13"": ""A"", ""q29"": ""A"", ""q7"": ""B"", ""q97"": ""A"", ""q24"": ""D"", ""q21"": ""D"", ""q79"": """", ""q46"": ""C"", ""q60"": """", ""q80"": ""B"", ""q100"": ""A"", ""q51"": ""C"", ""q3"": ""A"", ""q18"": ""D"", ""q93"": """", ""q75"": ""C"", ""q87"": ""D"", ""q16"": ""C"", ""q53"": ""D"", ""q91"": ""D"", ""q4"": """", ""q22"": ""C"", ""q72"": """", ""q86"": """", ""q35"": """", ""q32"": ""C"", ""q28"": ""B"", ""q67"": ""B"", ""q38"": """", ""q2"": ""D"", ""q19"": ""B"", ""q10"": ""C"", ""q62"": ""C"", ""q96"": """", ""q25"": ""D"", ""q65"": ""C"", ""q83"": ""D"", ""q84"": ""C"", ""q36"": ""C"", ""q74"": ""D"", ""q43"": ""C"", ""q69"": """", ""q63"": ""C"", ""q92"": ""A"", ""q1"": ""D"", ""q45"": ""B"", ""q31"": ""D"", ""q37"": ""D"", ""q54"": ""B"", ""q77"": ""A"", ""q85"": ""C"", ""q5"": ""C"", ""q58"": ""C"", ""q68"": ""C"", ""q99"": ""B"", ""q82"": ""B"", ""q81"": """", ""q70"": """", ""q39"": """", ""q47"": ""A"", ""q34"": ""B"", ""q89"": ""D"", ""q94"": ""A"", ""q6"": ""C"", ""q71"": """", ""q11"": ""C"", ""q66"": ""A"", ""q95"": """", ""q27"": """", ""q59"": ""D"", ""q41"": """", ""q23"": ""D"", ""q44"": ""C"", ""q48"": ""A"", ""q14"": ""D"", ""q64"": """", ""q61"": """", ""q20"": ""D"", ""q8"": """"}",batch_20251024_225610/rgb-100-gsm.jpg.jpg,completed,2025-10-24T22:56:10.827611,
batch_20251027_000424,rgb-100-gsm.jpg,,100,0,0,26,74.0,100.0,74.0,"{""q27"": """", ""q6"": ""C"", ""q2"": ""D"", ""q14"": ""D"", ""q35"": """", ""q75"": ""C"", ""q44"": ""C"", ""q73"": ""D"", ""q78"": """", ""q67"": ""B"", ""q4"": """", ""q25"": ""D"", ""q59"": ""D"", ""q34"": ""B"", ""q16"": ""C"", ""q66"": ""A"", ""q49"": ""C"", ""q10"": ""C"", ""q22"": ""C"", ""q96"": """", ""q80"": ""B"", ""q53"": ""D"", ""q29"": ""A"", ""q50"": """", ""q69"": """", ""q76"": ""D"", ""q12"": ""D"", ""q33"": """", ""q79"": """", ""q11"": ""C"", ""q37"": ""D"", ""q77"": ""A"", ""q54"": ""B"", ""q61"": """", ""q92"": ""A"", ""q45"": ""B"", ""q62"": ""C"", ""q39"": """", ""q71"": """", ""q40"": ""A"", ""q26"": ""D"", ""q17"": ""A"", ""q3"": ""A"", ""q74"": ""D"", ""q91"": ""D"", ""q70"": """", ""q90"": ""C"", ""q32"": ""C"", ""q82"": ""B"", ""q1"": ""D"", ""q19"": ""B"", ""q94"": ""A"", ""q24"": ""D"", ""q30"": ""D"", ""q51"": ""C"", ""q46"": ""C"", ""q42"": ""A"", ""q100"": ""A"", ""q64"": """", ""q89"": ""D"", ""q8"": """", ""q88"": """", ""q72"": """", ""q36"": ""C"", ""q87"": ""D"", ""q5"": ""C"", ""q56"": """", ""q83"": ""D"", ""q15"": ""A"", ""q86"": """", ""q57"": ""B"", ""q58"": ""C"", ""q48"": ""A"", ""q99"": ""B"", ""q9"": ""A"", ""q55"": ""C"", ""q41"": """", ""q31"": ""D"", ""q47"": ""A"", ""q7"": ""B"", ""q43"": ""C"", ""q84"": ""C"", ""q63"": ""C"", ""q85"": ""C"", ""q21"": ""D"", ""q38"": """", ""q28"": ""B"", ""q23"": ""D"", ""q60"": """", ""q95"": """", ""q20"": ""D"", ""q68"": ""C"", ""q97"": ""A"", ""q18"": ""D"", ""q98"": ""C"", ""q93"": """", ""q81"": """", ""q65"": ""C"", ""q13"": ""A"", ""q52"": """"}",batch_20251027_000424/rgb-100-gsm.jpg.jpg,completed,2025-10-27T00:04:29.216233,
batch_20251027_001321,rgb-100-gsm.jpg,,100,0,0,26,74.0,100.0,74.0,"{""q1"": ""D"", ""q2"": ""D"", ""q3"": ""A"", ""q4"": """", ""q5"": ""C"", ""q6"": ""C"", ""q7"": ""B"", ""q8"": """", ""q9"": ""A"", ""q10"": ""C"", ""q11"": ""C"", ""q12"": ""D"", ""q13"": ""A"", ""q14"": ""D"", ""q15"": ""A"", ""q16"": ""C"", ""q17"": ""A"", ""q18"": ""D"", ""q19"": ""B"", ""q20"": ""D"", ""q21"": ""D"", ""q22"": ""C"", ""q23"": ""D"", ""q24"": ""D"", ""q25"": ""D"", ""q26"": ""D"", ""q27"": """", ""q28"": ""B"", ""q29"": ""A"", ""q30"": ""D"", ""q31"": ""D"", ""q32"": ""C"", ""q33"": """", ""q34"": ""B"", ""q35"": """", ""q36"": ""C"", ""q37"": ""D"", ""q38"": """", ""q39"": """", ""q40"": ""A"", ""q41"": """", ""q42"": ""A"", ""q43"": ""C"", ""q44"": ""C"", ""q45"": ""B"", ""q46"": ""C"", ""q47"": ""A"", ""q48"": ""A"", ""q49"": ""C"", ""q50"": """", ""q51"": ""C"", ""q52"": """", ""q53"": ""D"", ""q54"": ""B"", ""q55"": ""C"", ""q56"": """", ""q57"": ""B"", ""q58"": ""C"", ""q59"": ""D"", ""q60"": """", ""q61"": """", ""q62"": ""C"", ""q63"": ""C"", ""q64"": """", ""q65"": ""C"", ""q66"": ""A"", ""q67"": ""B"", ""q68"": ""C"", ""q69"": """", ""q70"": """", ""q71"": """", ""q72"": """", ""q73"": ""D"", ""q74"": ""D"", ""q75"": ""C"", ""q76"": ""D"", ""q77"": ""A"", ""q78"": """", ""q79"": """", ""q80"": ""B"", ""q81"": """", ""q82"": ""B"", ""q83"": ""D"", ""q84"": ""C"", ""q85"": ""C"", ""q86"": """", ""q87"": ""D"", ""q88"": """", ""q89"": ""D"", ""q90"": ""C"", ""q91"": ""D"", ""q92"": ""A"", ""q93"": """", ""q94"": ""A"", ""q95"": """", ""q96"": """", ""q97"": ""A"", ""q98"": ""C"", ""q99"": ""B"", ""q100"": ""A""}",batch_20251027_001321/rgb-100-gsm.jpg.jpg,completed,2025-10-27T00:13:23.821851,
